识别时间,交易日,龙头品种,板块,方向,当前涨跌幅,当前增减仓幅度,前20日最高价或最低价,前20日平均涨跌幅绝对值,前20日平均增减仓幅度绝对值,首次突破时间,识别小时,历史窗口开始,历史窗口结束,触发原因
2018-04-09 13:59:00,2018-04-09,RM,油脂油料,向上,0.0413852544,0.0443050326,2608.9890860238,0.0084156278,0.0175449092,2018-04-09 09:01:00,2018-04-09 13:00:00,2018-03-08,2018-04-04,high=2717.87 突破前20日高点 2608.99；涨跌幅=4.1385%，超过2倍前20日平均绝对涨跌幅 0.8416%；增仓幅度=4.4305%，超过1.5倍前20日平均绝对增减仓幅度 1.7545%；首次突破时间=2018-04-09 09:01:00
2018-04-09 14:59:00,2018-04-09,A,油脂油料,向上,0.0215175701,0.0735490400,3924.4632697807,0.0060511452,0.0364192197,2018-04-09 09:01:00,2018-04-09 14:00:00,2018-03-08,2018-04-04,high=4076.86 突破前20日高点 3924.46；涨跌幅=2.1518%，超过2倍前20日平均绝对涨跌幅 0.6051%；增仓幅度=7.3549%，超过1.5倍前20日平均绝对增减仓幅度 3.6419%；首次突破时间=2018-04-09 09:01:00
2018-04-09 15:00:00,2018-04-09,A,油脂油料,向上,0.0213770288,0.0742750700,3924.4632697807,0.0060511452,0.0364192197,2018-04-09 09:01:00,2018-04-09 15:00:00,2018-03-08,2018-04-04,high=4076.86 突破前20日高点 3924.46；涨跌幅=2.1377%，超过2倍前20日平均绝对涨跌幅 0.6051%；增仓幅度=7.4275%，超过1.5倍前20日平均绝对增减仓幅度 3.6419%；首次突破时间=2018-04-09 09:01:00
2018-04-13 09:59:00,2018-04-13,AL,有色基本金属,向上,0.0188554801,0.0401589785,14474.1971700365,0.0059265424,0.0175328595,2018-04-12 23:29:00,2018-04-13 09:00:00,2018-03-14,2018-04-12,high=14634.8 突破前20日高点 14474.2；涨跌幅=1.8855%，超过2倍前20日平均绝对涨跌幅 0.5927%；增仓幅度=4.0159%，超过1.5倍前20日平均绝对增减仓幅度 1.7533%；首次突破时间=2018-04-12 23:29:00
2018-04-18 21:59:00,2018-04-19,AG,贵金属,向上,0.0159039520,0.0362443796,3723.8379541792,0.0049068538,0.0171423910,2018-04-18 21:01:00,2018-04-18 21:00:00,2018-03-20,2018-04-18,high=3779.42 突破前20日高点 3723.84；涨跌幅=1.5904%，超过2倍前20日平均绝对涨跌幅 0.4907%；增仓幅度=3.6244%，超过1.5倍前20日平均绝对增减仓幅度 1.7142%；首次突破时间=2018-04-18 21:01:00
2018-04-19 00:59:00,2018-04-19,AG,贵金属,向上,0.0177451716,0.0347663328,3723.8379541792,0.0049068538,0.0171423910,2018-04-18 21:01:00,2018-04-19 00:00:00,2018-03-20,2018-04-18,high=3780.75 突破前20日高点 3723.84；涨跌幅=1.7745%，超过2倍前20日平均绝对涨跌幅 0.4907%；增仓幅度=3.4766%，超过1.5倍前20日平均绝对增减仓幅度 1.7142%；首次突破时间=2018-04-18 21:01:00
2018-04-19 10:59:00,2018-04-19,AL,有色基本金属,向上,0.0222386379,0.0321647985,15004.2679696305,0.0074042881,0.0136078235,2018-04-18 21:01:00,2018-04-19 10:00:00,2018-03-20,2018-04-18,high=15315.3 突破前20日高点 15004.3；涨跌幅=2.2239%，超过2倍前20日平均绝对涨跌幅 0.7404%；增仓幅度=3.2165%，超过1.5倍前20日平均绝对增减仓幅度 1.3608%；首次突破时间=2018-04-18 21:01:00
2018-04-19 11:30:00,2018-04-19,AL,有色基本金属,向上,0.0272295512,0.0512779008,15004.2679696305,0.0074042881,0.0136078235,2018-04-18 21:01:00,2018-04-19 11:00:00,2018-03-20,2018-04-18,high=15371.7 突破前20日高点 15004.3；涨跌幅=2.7230%，超过2倍前20日平均绝对涨跌幅 0.7404%；增仓幅度=5.1278%，超过1.5倍前20日平均绝对增减仓幅度 1.3608%；首次突破时间=2018-04-18 21:01:00
2018-04-19 13:59:00,2018-04-19,AL,有色基本金属,向上,0.0331556203,0.0657465814,15004.2679696305,0.0074042881,0.0136078235,2018-04-18 21:01:00,2018-04-19 13:00:00,2018-03-20,2018-04-18,high=15592.5 突破前20日高点 15004.3；涨跌幅=3.3156%，超过2倍前20日平均绝对涨跌幅 0.7404%；增仓幅度=6.5747%，超过1.5倍前20日平均绝对增减仓幅度 1.3608%；首次突破时间=2018-04-18 21:01:00
2018-04-19 14:59:00,2018-04-19,AL,有色基本金属,向上,0.0301346822,0.0534768414,15004.2679696305,0.0074042881,0.0136078235,2018-04-18 21:01:00,2018-04-19 14:00:00,2018-03-20,2018-04-18,high=15592.5 突破前20日高点 15004.3；涨跌幅=3.0135%，超过2倍前20日平均绝对涨跌幅 0.7404%；增仓幅度=5.3477%，超过1.5倍前20日平均绝对增减仓幅度 1.3608%；首次突破时间=2018-04-18 21:01:00
