RETURN_MULTIPLIER,OI_MULTIPLIER,CORRELATION_THRESHOLD,单边费率,交易次数,胜率,累计收益率,年化收益率,最大回撤,年化夏普比率
5.0,2.0,0.6,0.0001,29.0,0.5862068965517241,0.0452908759306649,0.007284131723074,0.0005300099628435,0.7845835712188366
4.5,3.0,0.6,0.0001,16.0,0.8125,0.0428485746085032,0.0074054487945371,0.0005300099628435,0.7843949433614589
3.5,3.0,0.7,0.0001,19.0,0.7894736842105263,0.0944637304896376,0.0146975028085538,0.0005300099628435,0.7838376937887607
5.0,3.0,0.7,0.0001,14.0,0.7857142857142857,0.0435232770761793,0.0075200354223112,0.0005300099628434,0.7831459853134818
4.0,2.0,0.5,0.0001,57.0,0.5789473684210527,0.0674859635481694,0.0093891716530065,0.0030297596880838,0.7791261188653499
5.0,1.5,0.7,0.0001,30.0,0.6,0.0508069407664002,0.0071990882847881,0.0006494624733004,0.7781590506617745
5.0,1.5,0.6,0.0001,36.0,0.5833333333333334,0.0494600945985892,0.0070121275884869,0.0006494624733003,0.7756997977323599
4.5,3.0,0.5,0.0001,22.0,0.7727272727272727,0.0443246628907989,0.0076560577362851,0.0020517462340869,0.7709236227857995
4.5,3.0,0.7,0.0001,14.0,0.7857142857142857,0.0415600743358941,0.0071864492884976,0.0005300099628434,0.7619844803450763
4.0,3.0,0.5,0.0001,25.0,0.76,0.0612874034474588,0.0096612794154788,0.0020517462340871,0.7541302690935552
4.0,2.0,0.6,0.0001,43.0,0.6046511627906976,0.0625289348453363,0.0087170857683793,0.0030297596880838,0.7540951718180104
4.0,3.0,0.6,0.0001,19.0,0.7894736842105263,0.0584650076977106,0.0092267695072403,0.0005300099628434,0.7459586674228814
4.0,2.5,0.6,0.0001,27.0,0.7037037037037037,0.0656779114158832,0.0091443420213048,0.0030297596880837,0.737590815166815
3.5,2.0,0.7,0.0001,40.0,0.575,0.092035639787009,0.0143332870049788,0.0122271322690811,0.7356707105092127
5.0,2.5,0.8,0.0001,9.0,0.7777777777777778,0.0190301242765256,0.0058603173261646,-0.0,0.7299856898238498
5.0,3.0,0.8,0.0001,9.0,0.7777777777777778,0.0190301242765256,0.0058603173261646,-0.0,0.7299856898238498
4.0,3.0,0.7,0.0001,16.0,0.8125,0.0571108264449322,0.0090179473839544,0.0005300099628435,0.7295528080241452
4.0,2.5,0.5,0.0001,35.0,0.6571428571428571,0.0647925341784823,0.0090243226060766,0.0030297596880837,0.72882275417579
4.5,2.0,0.5,0.0001,42.0,0.5714285714285714,0.044371180090595,0.0071388660272362,0.0020517462340869,0.728017622188101
5.0,2.0,0.5,0.0001,38.0,0.5526315789473685,0.0431912040717807,0.0069523324150784,0.0020517462340869,0.7239689993503553
3.5,4.0,0.6,0.0001,18.0,0.7222222222222222,0.0708029774538117,0.0111191055512169,0.0006430031522436,0.7238725852272224
3.5,4.5,0.6,0.0001,14.0,0.6428571428571429,0.0615427779493162,0.0105579783465741,0.0007391822937367,0.7231746143463266
